Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS,V1,V2,V3,V4,V5,V6,V7,V8,V9
4/28/2017,80.33,14.6,39.1454,40.97,0.1,35.73,15.33,4.94,32.52,"9,30,321","45,11,333","1,02,756","2,18,782",400,"5,16,726","3,49,414","16,36,934","2,02,346"
4/27/2017,81.25,14.6,39.1,40.77,0.1263,35.63,14.71,4.925,32.99,"9,66,181","44,60,495","2,17,820","1,92,496",0,"6,41,380","3,20,014","17,40,352","2,92,145"
4/26/2017,81.69,14.54,38.7,40.89,0.1263,35.365,14.88,4.945,30.86,"16,28,193","54,30,178","1,07,064","2,10,763","64,271","11,39,057","3,53,134","19,58,492","2,36,684"
4/25/2017,80.67,14.58,39.05,41.53,0.104,34.6899,14.94,4.995,30.32,"10,51,584","71,59,350","3,62,958","1,87,297","71,717","24,27,062","5,39,803","26,75,856","1,44,982"
4/24/2017,80.18,14.605,38.6,40.96,0.12,34.32,14.53,4.895,30.4,"11,58,799","73,24,641","3,84,004","2,67,772","12,600","17,70,045","4,71,674","10,02,804","1,02,245"
4/21/2017,79.09,14.48,38.25,40.7,0.105,34.02,14.56,4.915,30.3,"8,20,388","74,52,546","2,99,495","1,89,340","8,200","16,18,282","2,22,044","7,42,168","1,22,397"
4/20/2017,78.69,14.545,38.45,40.79,0.11,34.49,14.73,4.945,30.34,"9,09,003","34,25,617","2,59,861","1,41,851","11,025","17,54,941","3,96,231","11,86,034","1,69,859"
4/19/2017,78.4,14.445,38.695,40.43,0.1101,34.25,14.76,4.93,30.04,"7,44,123","48,62,506","1,87,143","1,96,120",633,"17,89,796","5,13,812","11,61,430","2,09,663"
4/18/2017,78.15,14.49,38.5,40.63,0.11,34.48,14.44,4.885,29.64,"7,11,521","60,69,271","1,22,628","2,28,692",282,"19,17,407","5,24,409","14,29,966","2,15,764"
4/17/2017,77.99,14.57,38.35,41.23,0.1596,34.9,14.79,4.89,29.38,"4,14,816","79,90,334","1,73,884","1,36,944",0,"11,24,153","4,29,378","6,87,848","1,53,936"
4/13/2017,77.425,14.83,38.7,40.91,0.1749,35.08,15.39,4.885,29.32,"6,00,249","1,76,39,410","3,27,797","1,23,547","2,042","12,75,174","4,99,660","17,48,638","1,88,428"
04-12-2017,77.34,15.27,37.45,40.8,0.1797,35.85,16.1,4.945,29.18,"5,72,634","86,91,153","6,96,253","1,67,872","15,650","14,66,912","4,48,355","17,32,744","1,56,673"
04-11-2017,76.92,15.175,36.35,40.71,0.13,36.73,15.94,5.01,29.34,"5,85,448","49,50,086","3,88,360","1,88,549","1,400","13,62,003","3,10,421","13,95,124","4,01,988"
04-10-2017,76.67,15.195,36.6,41.02,0.14,36.64,16.07,5.01,28.435,"7,59,300","86,26,505","3,25,528","1,37,111","1,440","12,56,206","3,13,420","9,44,160","2,64,279"
04-07-2017,76.67,15.335,36.1,41.22,0.122,36.2863,16.95,5.055,28.44,"4,90,247","34,47,713","3,13,128","1,67,585","10,000","10,65,008","3,26,651","12,81,178","1,55,431"
04-06-2017,76.11,15.4,34.55,41.9757,0.155,36.16,16.96,5.09,28.54,"5,44,842","33,58,097","1,51,774","2,11,883","84,700","9,64,230","2,82,108","16,44,202","1,26,181"
04-05-2017,75.95,15.39,34.675,42.4,0.1569,36.18,17.19,5.08,28.79,"6,57,142","43,30,499","3,62,607","4,65,297","1,525","14,43,243","4,07,299","20,59,372","1,33,872"
04-04-2017,76.22,15.51,34.25,41.54,0.1738,35.53,16.98,5.045,28.65,"7,01,884","59,01,448","1,01,022","2,59,630","2,180","8,19,730","2,37,564","9,24,332","2,04,164"
04-03-2017,76.18,15.77,35.35,41.85,0.1799,35.84,17.09,5.1125,29,"13,57,849","73,64,016","1,79,227","2,91,698","4,975","10,50,286","4,05,012","15,39,260","2,83,752"
3/31/2017,75.35,15.92,34.825,40.79,0.1499,35.736,17.34,5.205,28.8,"10,63,449","40,97,996","2,34,681","2,05,388","14,330","13,21,562","6,90,676","20,27,358","2,09,231"
3/30/2017,74.89,15.82,35.05,40.665,0.1415,35.84,17.07,5.17,28.73,"10,28,926","40,36,528","2,98,225","2,82,083","2,011","8,24,227","9,57,745","8,06,232","1,36,250"
3/29/2017,74.335,15.85,35.8,40.48,0.135,36.14,16.94,5.1425,28.78,"4,47,633","40,46,515","2,66,142","1,98,336","2,180","11,53,908","3,73,801","9,17,818","1,34,548"
3/28/2017,74.23,15.79,36.4,40.5,0.135,36.6,16.68,5.17,28.885,"3,89,242","44,90,728","3,39,648","2,65,489","1,710","9,11,669","5,52,415","7,80,996","2,15,348"
3/27/2017,74.94,15.76,36.45,40.37,0.1454,36.15,16.19,5.11,29.005,"13,53,137","35,91,441","2,79,154","2,20,273",0,"9,09,923","4,43,403","7,77,024","2,83,836"
3/24/2017,72.99,15.78,36.95,39.99,0.1454,35.86,16.34,5.12,29.11,"7,00,335","40,37,254","3,52,083","2,13,224",0,"14,32,370","4,40,971","4,83,740","2,42,305"
3/23/2017,73.59,15.85,37.35,39.96,0.1454,36.33,16.64,5.115,28.85,"11,37,328","4,755,99","4,81,469","4,20,389",150,"19,28,514","5,91,536","9,17,272","3,55,690"
